DT,SN,BY,WC,HD,LP,AN,anio
2021-05-05,El Universal,Agencia El Universal,362 words,Mitzy hilvana su propia historia,"Mario P. Székely, corresponsalLOS ÁNGELES, EU., mayo 5 (EL UNIVERSAL).- Desde hace días era un rumor, ahora es una confirmación. Mitzy ""el diseñador de las estrellas"", como se le conoce en México por estar tras los vestidos de luminarias como María Félix, Verónica Castro, Daniela Romo, Sasha Montenegro, Juan Gabriel y Thalía, cumple medio siglo de trayectoria y podrá celebrarla con un libro y una serie de tv o película sobre su vida. Así lo compartió el fin de semana la leyenda de la moda, quien hizo época con su estilo sobre todo en los años 70, 80 y 90, cuando el canal 2 de Televisa era sitio de reunión para cantantes y actores.""Son 50 años. Yo voy a contar lo que yo viví. Nada más. Nadie me lo contó, yo estuve ahí, al lado de las estrellas. No puedo inventar nada porque sería algo horrible, algo que no es. Los abogados de quienes harán el libro y las producciones se harán responsables de que no haya demandas"", anunció en rueda de prensa.Aún sin título, el libro biográfico que reúne las anécdotas tras vastidor de Mitzy, cuyo nombre es Jorge García Cárdenas, tendrá como autores a Juan Manuel Navarro y Javier León Herrera, los mimos de la biografía del cantante Luis Miguel, Oro de Rey. Para la bioserie o producción fílmica, el productor-director y actor nominado al Oscar, Edward James Olmos, quiere levantar el proyecto en pantalla.""Mi primer vestido fue para Francis ?cantante travesti e imitador de estrellas?; pero fue con Verónica Castro, el estilista Alfredo Palacios y yo, quienes hicimos equipo a mediados de los años 70, empezamos de cero y luego Vero llegó a Los ricos también lloran y su show de Noche a noche, por las que desfilaron cientos de talentos y pasé cada jornada en el camerino trabajando"", reveló Mitzy. Aún sin fechas de estreno, Mitzy espera que será en 2022 cuando el libro de su biografía salga a la venta y no muy lejos el anuncio de los detalles de su adaptación a medios audiovisuales.",Document UNVSAL0020210505eh55000md,2021
2021-08-27,El Universal,Agencia El Universal,303 words,Posponen marcha de la diversidad sexual en Morelos,"CUERNAVACA, Mor., agosto 27 (EL UNIVERSAL).- La marcha de la diversidad sexual que estaba programada para este sábado fue pospuesta hasta que Morelos cambie a verde o amarillo en el semáforo sanitario, confirmó Isidro Añorve Sánchez, integrante del comité organizador.En conferencia de prensa dijo que la marcha con la cual exigirían el reconocimiento a sus derechos, no se llevará a cabo porque en la tercera ola los contagios de Covid-19 se han incrementado.Para esta marcha, dijo Añorve, la movilización de la comunidad lésbico-gay elevaría su demanda de exigir el respeto a los derechos de las personas LGBTTTI, en especial de las personas trans que sufren de manera sistemática la violencia y discriminación.También tenía el propósito de presionar a los diputados locales para la aprobación de la iniciativa de reforma al Código Civil y Familiar, para que las personas trans puedan acceder al cambio de nombre y sexo en su acta de nacimiento.Las cifras sobre los integrantes de la comunidad LGBTTTI en Morelos, conforme a declaraciones anteriores, es de aproximadamente 400 mujeres y hombres trans que están en espera de que sea aprobada la iniciativa para realizar su cambio de identidad, porque siguen sufriendo discriminación desde la sociedad, así como de las dependencias gubernamentales.Añorve Sánchez informó que la marcha en su edición número 17 estaba programada para salir de la iglesia El Calvario al zócalo de Cuernavaca, y recordó que el Comité Organizador de la marcha se formó desde el 2005 con el principal objetivo de visibilizar a la diversidad sexual en el estado, además de contribuir a construir una agenda sobre igualdad y no discriminación en todos los sectores que involucran a las personas LGBTTTI.",Document UNVSAL0020210828eh8r0000l,2021
2021-12-01,Milenio,Milenio Digital,370 words,¿Cuándo y cómo llegó el virus a nuestro país? Breve historia de la pandemia de VIH/Sida en México,"En 1983 aparecieron los primeros casos de la enfermedad en nuestro país y desde entonces erradicar la epidemia en todo el mundo es una de las metas de la ONU, la cuál pretende alcanzar en 2030 con esfuerzos millonarios de todo el mundo que han llevado décadas. El estigma ha sido un obstáculo para poder erradicar uno de los mayores problemas en salud pública en todo el mundo. En el marco del 1 de diciembre, Día Mundial de la Lucha contra el Sida, te compartimos la historia de cómo llegó el VIH-Sida a México. Conocer la cronología de este problema nos puede ayudar a saber qué se ha hecho mal como sociedad y a nivel gobierno, y tener así mejores herramientas para combatir este problema en un futuro cercano.",Document MILENI0020211201ehc1001bg,2021
2021-09-22,Milenio,Fernando Damián,327 words,"Diputados 'descongelan' proyecto sobre matrimonio igualitario y ?autonomía reproductiva""","La Cámara de Diputados ?descongelará? el proyecto de reformas y adiciones constitucionales en materia de igualdad sustantiva para reconocer el matrimonio igualitario y la ?autonomía reproductiva? en el ámbito federal. ?Los grupos parlamentarios me han comentado que están completamente de acuerdo con que transite ese dictamen; obviamente tenemos la oposición del PAN, no tenemos por qué ocultarlo, fue público en su momento, pero yo creo que alcanzamos las dos terceras partes que se requieren para la reforma constitucional en materia de género?, puntualizó la diputada Alavez.Mier sostuvo que el dictamen está listo y debió ser desahogado desde hace tiempo, pero al final de la legislatura pasada se quedó pendiente en la Mesa Directiva.",Document MILENI0020210922eh9m0003k,2021
2021-06-21,Milenio,Braulio Peralta,389 words,Reinas en disputa,"David Torrez, consultor e investigador en artes visuales, me envió un mensaje por whatsApp, inconforme de lo escrito en la pasada columna sobre la muestra Reinas en disputa, exhibiéndose en la Galería José María Velasco. Dice: “Celebro que escribas sobre artes visuales pero me gustaría que hablaras de la exposición en sí. La muestra es lamentable y echa por tierra el reconocimiento y logro de los colectivos que celebran junio como el mes del orgullo y se cobijan con la bandera del arcoíris. Es una expo mediocre: copias mal impresas, pésimamente enmarcadas y peor presentadas. Los textos que explican los conjuntos-secciones no se pueden leer de lo pinche que son los viniles en que están impresos. La exhibición no solo es una ofensa para el colectivo sino para los autores mismos de las fotografías; ejemplo de que a la Secretaría de Cultura no le importan ni los unos ni los otros ni tampoco los consumidores-visitantes del espacio cultural que ya necesita un cambio porque no sale de los mismos autores y las mismas muestras como si no hubiese más y sobre eso mismo. ¿Te gustó el montaje, las fotos mal impresas, las cédulas de los apartados, el color de las paredes, las vitrinas y como está su contenido; la muestra en general que ni un folleto tiene? Son aspectos que tienen que abordarse al escribir de exposiciones y parte de la responsabilidad al divulgar lo que la ciudad-instituciones ofrecen a los ciudadanos”.",Document MILENI0020210621eh6l000e7,2021
2021-06-27,Reforma,Amallely Morales,412 words,Desconfinan el orgullo,"El Covid no se fue, pero ellos sí regresaron a bailar, cantar, tomarse de las manos y gritar a favor de la diversidad sexual. Sus voces resonaron sobre la avenida, a la distancia y en redes sociales. Tomaron los espacios reales y virtuales. Cualquier rincón sirvió para que miembros y aliados de la comunidad lésbico, gay, bisexual, transexual, transgénero, travesti se besaran y abrazaran sin miedo.",Document RFMA000020210627eh6r00018,2021
2021-10-18,Milenio,Milenio Digital,572 words,Estos son los 3 estados donde los menores de edad pueden decidir su identidad de género,"Más de la mitad del país cuenta con legislaciones que permiten decidir a las personas su identidad de género, sin embargo, el número se reduce cuando se trata de los menores de edad. Aquí te presentamos las entidades que reconocen el derecho de estos últimos para decidir sobre su género en México. Estados con leyes para que los menores decidan sobre su identidad de género",Document MILENI0020211018ehai00063,2021
2021-07-25,Milenio,Sandra Rojas,366 words,CIDH llama a combatir la violencia política contra mujeres afrodescendientes,"La Comisión Interamericana de Derechos Humanos (CIDH) llamó a los estados de la región adoptar medidas efectivas para combatir todo tipo de discriminación y violencia contra mujeres afrodescendientes en el contexto de la participación política. m{1522686}En ese sentido, la Comisión detalló que en algunos estados de la región, la participación política de las mujeres afrodescendientes se encuentran aún más subrepresentadas que los hombres afrodescendientes y que las mujeres no afrodescendientes, pues no tienen “voz” en órganos políticos y espacios de toma de decisiones.",Document MILENI0020210725eh7p001s4,2021
2021-06-29,La Jornada,Víctor Ballinas,343 words,Rechaza la Segob cualquier acto de transgresión hacia comunidad LGBT,"Víctor Ballinas  Periódico La JornadaMartes 29 de junio de 2021, p. 14Al encabezar la presentación de los avances de la Encuesta nacional sobre diversidad sexual y de género (Endiseg) y de las Acciones hacia la tipificación de los crímenes de odio a nivel nacional, la secretaria de Gobernación, Olga Sánchez Cordero, subrayó que para el gobierno del presidente López Obrador erradicar las violaciones a los derechos humanos y resarcir las desventajas de los grupos sistemáticamente discriminados por su orientación sexual es un compromiso de gobierno. En el evento, organizado por el Consejo Nacional para Prevenir la Discriminación (Conapred), Sánchez Cordero enfatizó que la Endiseg aportará información valiosa para encausar las estrategias públicas inmediatas, en especial propiciará una coordinación de esfuerzos para diseñar modelos de respeto e inclusión de todas las voces de la sociedad en cuanto a la violencia por homofobia, lesbofobia, transfobia y bifobia.",Document JORNDA0020210629eh6t0000a,2021
2021-04-04,El Universal,Agencia El Universal,729 words,Arrancan campañas candidatos a gubernatura de Zacatecas,"ZACATECAS, Zac., abril 4 (EL UNIVERSAL).- Luego que el Instituto Electoral del Estado de Zacatecas (IEEZ) aprobó la candidatura de ocho candidatos y candidatas a la gubernatura de Zacatecas, las campañas electorales arrancaron en el primer minuto de este domingo con mensajes virtuales, con batucadas, juegos pirotécnicos o giras de trabajo por la entidad.Los ocho candidatos aprobados por el órgano electoral (cinco mujeres y tres hombres) que buscan relevar al actual gobernador priista Alejandro Tello son: Claudia Anaya Mota, postulada por la coalición Va por Zacatecas (PRI-PAN-PRD); David Monreal Ávila cobijado por la coalición Juntos Haremos Historia en Zacatecas (Morena-PT-PVEM-NA); así como Fernanda Salomé Perera Trejo, por el Partido Redes Sociales Progresistas, la primera mujer transgénero que se postula a una gubernatura.También se aprobó la candidatura de Ana María Romo Fonseca, por Movimiento Ciudadano; María Guadalupe Medina Padilla, del Partido Encuentro Solidario; Miriam García Zamora, bajo las siglas de Fuerza por México; Flavio Campos Miramontes, del partido Paz para Desarrollar Zacatecas; y Javier Valadez Becerra, por el Partido Político del Pueblo.Arrancan campañasEn el primer minuto de este domingo, David Monreal Ávila inició su campaña en sus redes sociales con un mensaje virtual que tuvo una duración de poco más de dos minutos, donde anunció que por ser domingo y de acuerdo a sus valores y principios, decidió ""guardar"" el domingo, por ello, dijo que será hasta este lunes cuando inicie su campaña política.En su breve mensaje aseguró que ""llegó la hora de la gran transformación"" y con su candidatura significaba dar una esperanza a su pueblo, además de recordar que ""la tercera es la vencida"", en relación a que es la tercera ocasión que se postula a la gubernatura de Zacatecas.Mientras que la priista Claudia Anaya Mota optó por iniciar su campaña en los primeros minutos de la medianoche en el circuito de las instalaciones de la Feria Nacional de Zacatecas, a donde acudió un contingente de militantes y simpatizantes de los tres partidos coaligados (PRI-PAN-PRD), en medio de fiesta con luces de fuegos pirotécnicos y una batucada.En su mensaje destacó que su proyecto es de inclusión que está cimentado en ""las mujeres que siempre hemos sido el pilar de las casas, de la sociedad"" y confió en que también serán ""el pilar del futuro gobierno"".""Llegó la hora de que nadie se quede fuera y que todos juntos vayamos adelante, este próximo domingo 6 de junio lograremos la gloria de la victoria con esfuerzo y trabajo"", ""llegó la hora del campo, llegó la hora de los jóvenes, llegó la hora de los migrantes, llegó la hora de las mujeres"", remarcó.Por su parte, Ana María Romo también publicó en sus redes sociales un video donde refiere: ""Nos metieron miedo, pero a mi me salieron alas de Movimiento Ciudadano"" y cuestionó que se diga que esta contienda es de dos, tras aseverar que ella dará la sorpresa: ""Vamos por el 3, pero voy por el 1, y vamos a ganar la gubernatura de Zacatecas"".En tanto que Fernanda Salomé, esta mañana, arrancó su campaña a través de un mitin digital que se hizo a nivel nacional junto con todos los candidatos del Partido Redes Sociales Progresistas, en donde Perera dijo que: ""Aunque estamos en la entidad más católica de México, me gana la emoción de tener la aceptación y apoyos de la sociedad y estoy lista para trabajar y con mi esfuerzo tener un Zacatecas más incluyente"".Flavio Campos Miramontes, candidato del partido local Paz por Zacatecas, solo emitió un mensaje en las redes sociales, donde anuncia que hará visitas para dar a conocer su oferta de gobierno y que será austera.El resto de las candidatas y candidatos han informado que realizarán sus arranques de campaña en redes sociales o giras de campaña en diversos municipios.Las campañas electorales en Zacatecas iniciaron este domingo y concluirán el 2 de junio, mientras tanto, el IEEZ ha otorgado un plazo de 48 horas a los partidos políticos para que subsanen el registro de las candidaturas que deben cumplir con el criterio de paridad, cuota joven y de grupos vulnerables, lo que obligó a varios candidatos a las alcaldías y distritos electorales a posponer sus arranques de campañas.",Document UNVSAL0020210404eh44001bg,2021
2021-09-21,Milenio,Milenio Digital,487 words,"""No, compañere"": Tiktoker critica a Andra por usar mal el lenguaje inclusivo en lengua de señas","Andra Escamilla, persona no binaria que se volvió viral en redes sociales por pedir que respetaran su pronombre con el que se identifica (elle) y que le dijeran compañere y no compañera durante una clase en línea, volvió a dar de qué hablar. Ahora la persona no binaria fue criticada por usar mal la lengua de señas al intentar usar el lenguaje inclusivo. m{1619434}¿Qué sucedió? Toda la polémica inició luego de que Andra Escamilla respondiera cómo se traducen los pronombres él, elle en lengua de señas. Pese a su esfuerzo, al parecer lo hizo de forma incorrecta.",Document MILENI0020210921eh9l001k2,2021
2021-07-21,El Universal,Agencia El Universal,226 words,Asesinan dentro de estética a mujer trans en SLP,"SAN LUIS POTOSI, SLP., julio 21 (EL UNIVERSAL).-La madrugada de este miércoles 21 de julio de 2021 fue reportado a las líneas de emergencia el asesinato de mujer trans en la colonia Valle Dorado. Fabiola ""N"", de 43 años de edad, fue atacada con un arma blanca dentro de su domicilio, ubicado en la calle Perla.Las indagatorias de la Policía de Investigación determinaron la identidad legal de Fabiola ""N"", al descubrir que se trataba de una mujer transexual el caso fue notificado a la Fiscalía Especializada en materia de Derechos Humanos, debido a que podría tratarse de un crimen de odio hacia una persona de la comunidad LGBT+ en la capital potosina.Personal de Servicios Periciales se encargó de procesar la escena y trasladar el cuerpo de Fabiola ""N"" al Semele donde se establecerán la mecánica de las lesiones, además de la causa de muerte. En su hogar, donde la mujer trans se desempeñaba como estilista, fueron encontrados varios indicios del crimen.Una vez terminada la necropsia, el cuerpo de Fabiola ""N"" será devuelto a sus familiares. Agentes de la Viscefiscalía Científica y la Fiscalía Especializada en Derechos Humanos trabajan en coordinación para dar con los responsables de este posible transfeminicidio.",Document UNVSAL0020210721eh7l001h6,2021
2021-02-13,Milenio,Isabel Zamudio,407 words,Asesinan a seis mujeres durante la segunda semana de febrero en Veracruz,"Seis mujeres, una de ella transgénero, fueron asesinadas durante la semana pasada, del 7 a 13 de febrero, en Veracruz. Maricruz Anota fue hallada sin vida en un camino de la localidad de Xotepan a La Ceiba, a escasos metros del río. La joven tenía varios días desaparecida. Fue encontrada con huellas de tortura y agresión sexual.",Document MILENI0020210213eh2d001p6,2021
2021-06-26,Milenio,Milenio Digital,772 words,¿Por qué junio es el mes del Orgullo LGBT+ en México? Historia y origen de la celebración,"La historia del Mes del orgullo LGBT empieza a mediados del siglo XX, en Nueva York. A partir del conocido conflicto de Stonewall, que ocurrió un 28 de junio de 1969, estalló una serie de movimientos sociales en varios lugares del mundo que exigían respeto y libertades para la diversidad sexual.  m{1467744}Guerra Fría y StonewallAunque ya había acabado la Segunda Guerra Mundial, Estados Unidos seguía en un conflicto con la Unión Soviética a través de la llamada Guerra Fría. ",Document MILENI0020210626eh6q000xl,2021
2021-05-17,El Universal,Agencia El Universal,566 words,CDMX participa en ensayo fase 3 de vacuna contra VIH,"CIUDAD DE MÉXICO, mayo 17 (EL UNIVERSAL).- La directora de la Clínica Especializada Condesa, Andrea González Rodríguez, dijo que la Ciudad de México participa en el proyecto de la fase 3 del estudio internacional Mosaico mediante el cual se espera obtener una vacuna contra el VIH.Detalló que el trabajo, que tendrá una duración hasta el 2024, es conducido internacionalmente por la HIV Vaccine Trial Network?HVTN, y es la primera vez que esta red internacional trabaja en México, junto con otras siete naciones, además de la CDMX la fase 3 se realiza en Guadalajara y Mérida. En ese sentido, el Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán, se encarga de implementar la investigación en la Clínica Especializada Condesa, en Iztapalapa.""Actualmente colaboran 75 personas y se espera que su número pueda ascender hasta un total de 150 voluntarios. Los resultados estarán hasta el año 2024 y, a la fecha, no se tiene previsto que se tenga información sobre logros parciales de la investigación, además de los ya conocidos en las fases 1 y 2, cuyos resultados en primates y humanos son alentadores"", explicó. Agregó que es la primera vez que una vacuna experimental contra el VIH llega a fase 3 en casi 40 años de pandemia. Las primeras dos fases han dado resultados esperanzadores en primates y humanos.La jefa de Gobierno de la Ciudad de México, Claudia Sheinbaum, recordó que el Sida es una epidemia que ha existido desde hace décadas y ha habido muchos avances en medicamentos para la contención por lo que es fundamental el desarrollo científico para atacar el virus. Cabe mencionar que la investigación es dirigido a hombres y personas trans que tienen relaciones sexuales con hombres y/o personas trans.El protocolo en el que participan las personas elegidas tiene una duración de dos años y medio e implica que asistan a revisión un total de 14 veces durante el periodo. Parte fundamental del proceso es el consentimiento informado de los participantes, toda vez que deben aceptar someterse a una prueba de VIH -y otros análisis- que deberá ser negativa como parte de los criterios de inclusión.Asimismo, se realizan pruebas de detección de otras infecciones de transmisión sexual (ITS) como hepatitis B y C, clamidia, gonorrea y sífilis, que atiende la clínica. Se trata de un paquete de prevención integral; detección, atención y tratamiento de ITS que incluye dotación de condones y lubricantes.Así funciona el ensayoLas personas elegibles reciben de inmediato la primera dosis de la vacuna experimental; la segunda a los tres meses; la tercera a los seis y la cuarta y última al año. En los primeros 12 meses se completa el esquema de vacunación. En el segundo año y medio siguientes ya no se aplica el biológico.Durante el estudio se brinda consejería para la reducción de prácticas de riesgo por vía sexual y se realizan pruebas para conocer el efecto de la vacuna experimental en el sistema inmunológico, tanto en las células de defensa y anticuerpos.En tanto, durante estos dos años y medio se monitorea la seguridad de los voluntarios a quienes se aplica la vacuna. Hasta ahora, en ninguno de los centros de investigación en el mundo se ha reportado una reacción adversa grave o inesperada.",Document UNVSAL0020210517eh5h000s0,2021
2021-06-28,Milenio,Erik Eduardo Saldaña,232 words,Panadería en Tampico crea 'piernitas rellenas' decoradas con los colores de la Bandera Gay,"Este lunes 28 de junio se celebra el día del orgullo gay; en Tamaulipas algunos colectivos de la comunidad LGBT desfilaron en la caravana gay en Tampico; a estas actividades se suman negocios y empresas como una panadería de Tampico al crear las ""Piernitas rellenas de mermelada"" decoradas con los colores del arcoíris.  m{1476380}Las piernitas rellenas decoradas de la bandera LGBT es una creación de esta popular panadería; en sus redes sociales publicaron el producto que será vendido para todos sus consumidores. ",Document MILENI0020210628eh6s0005m,2021
2021-12-03,Reforma,Fernando Merino,234 words,Proponen mayor inclusión en plazas,"La diputada Silvia Sánchez, del PRI, presentó una iniciativa para que el dos por ciento de los puestos de trabajo en la Administración pública sean ocupados obligatoriamente por personas trans. Alejandra Salazar, activista de Fuerza Democrática Diversidad GAM, urgió a los diputados a garantizar su derecho al trabajo, el cual ya está consolidado en la Constitución, pero no se cumple por la discriminación que sufren.",Document RFMA000020211203ehc300016,2021
2021-11-17,El Universal,Alejandra Puente,565 words,El feminismo de todas y todos,"Los movimientos sociales son una parte fundamental de la estructura social que construimos día a día como mexicanos. Desde el movimiento indígena hasta la formación de nuevos partidos. El rumbo y el destino que tienen todos y cada uno de ellos corresponde a una necesidad colectiva. Nadie es ajeno a estas necesidades, somos juez o parte de cada cosa que nos define como mexicanas y mexicanos. Los espacios ganados a lo largo de este corto periodo desde que ha tomado valor el término feminismo son muchísimos, tantos que a veces pueden traslaparse ideas unas sobre otras. Un reflejo normal de una polifonía de voces que han clamado durante tanto tiempo ser escuchadas y que cuando por fin sucede pueden parecer el eco de una misma queja. El feminismo es una postura urgente porque como mujeres podemos identificar la serie de cosas que deben ajustarse para una sociedad más equilibrada, mientras que como hombres, el valor de la consciencia es lo que efectivamente permite una reflexión colectiva. El feminismo es un movimiento social porque es un movimiento de todas y de todos.",Document UNVSAL0020211117ehbh0026c,2021
2021-07-20,El Universal,Agencia El Universal,355 words,Diputadas de Morena establecen agenda de género para 65 Legislatura,"CIUDAD DE MÉXICO, julio 20 (EL UNIVERSAL).- Diputadas electas y reelectas de Morena sostuvieron un encuentro informal en un hotel ubicado al centro de la Ciudad de México, para establecer la agenda de género que impulsarán en la 65 Legislatura.En la reunión privada estuvieron presentes una treintena de legisladoras de manera presencial, además de otras 30 que lo hicieron de manera remota a través de videollamada.A pesar de que la legislatura de la paridad concluye en agosto, las diputadas decidieron ir en conjunto para seguir promoviendo la igualdad sustantiva.Como primer punto, se determinó retomar el dictamen de la Comisión de Puntos Constitucionales para establecer que corresponde al Estado la responsabilidad de aplicar toda su fuerza contra la violencia hacia las mujeres.""Que se entienda que estamos en una crisis muy fuerte en materia de violencia hacia las mujeres y que es urgente que el Estado fortalezcas sus acciones para combatir esta problemática"", detalló a EL UNIVERSAL la diputada Aleida Alavez, una de las legisladoras que encabezó el evento.También se retomará un dictamen para prohibir la discriminación motivada por orientaciones sexuales, identidad de género o expresión de género.En la agenda de las diputadas guindas se incluye el derecho a la autonomía reproductiva, la igualdad salarial, y una iniciativa para garantizar el principio de paridad de género en la designación de Ministros de la Suprema Corte de Justicia de la Nación (SCJN).""Todos estos dictámenes ya se habían aprobado en comisiones pero quedaron pendientes, por lo que ya hicimos la solicitud a la Mesa Directiva para que no regrese estos dictámenes a comisión y se concreten llevándolos directamente al pleno para su discusión y aprobación"", detalló Alavez Ruíz.Además de estas iniciativas, acordaron seguir trabajando de manera permanente para agregar otras propuestas de las diputadas electas.Entre las asistentes también estuvieron la diputada Lidia García, integrante de la Comisión de Presupuesto, y quien logró la reelección, así como Yeidckol Polevnsky exsecretaria general de Morena y hoy diputada federal electa.",Document UNVSAL0020210720eh7k000pa,2021
2021-01-27,Milenio,Wenceslao Bruciaga,874 words,La inclusión del cxrxnavirus,"Si nunca usé una @ para circunscribir en una misma palabra a hombres y mujeres, mucho menos sustituiré ahora las correspondencias genéricas con una x o una e para demostrarle al mundo digital que he descubierto la inclusión. De las ventajas de haber crecido en medio de la nada, del privilegio de la soledad lagunera, es que no te afecta lo que piensen de ti tu familia chilanga, los regios o las nuevas generaciones. Mucho menos ahora que la vejez me respalda. Con el lenguaje inclusivo es un pleito personal. Nada más. A pesar de sus buenas intenciones de hacer una sociedad más justa y solidaria con la neutralización de las personas e identidades mediante el uso de vocales andróginas, siempre que estoy dispuesto a darme en la madre con mis resistencias, me detengo en el hecho de que su escritura se confina una visible persuasión gentrificada. Leo y me dicen que la metamorfosis incluyente responde a la elasticidad del propio lenguaje en su slang cotidiano. Entiendo. Pero las mutaciones lingüísticas deben ser capaces de moverse en todas las direcciones, como dice Greg Prato en “Punk! Hardcore! Reggae! Pma!”, la biografía de los Bad Brains, acaso la primera banda de hardcore conformada por negros. Y no de un modo vertical. De arriba abajo, como intuyo sucede con la redacción inclusiva. Dice Prato que es como si los blancos vinieran a enseñarte cómo se debe gritar para que el punk cobre existencia y te escuchen. Paradójicamente, los ilustres de Bad Brains no son recordados como el peso histórico que se merecen. La mayoría de la gente de los barrios populares y periféricos no habla con la conciencia sofisticada del lenguaje incluyente que alberguen todas las posibilidades que existen en el dial entre los puntos de hombre y mujer. No van por la leche de Liconsa, no compran las tortillas ni las caguamas ni se contactan a las redes sociales de las estaciones de radio gruperas para enviar saludos a, todes, los de su casa. Ni las trans que cortan el cabello o coquetean con los choferes de microbuses afuera de los depósitos de cerveza hablan con esa inclusión castellana. Cuando son ellas de las principales poblaciones que pretenden visibilizar, y defender, el lenguaje sin género. Tampoco es que les quite el sueño. Se la pasan bien sobreviviendo. Defendiéndose de la discriminación de los sacerdotes de la colonia y las señoras chismosas a su manera. Con las groserías patriarcales de siempre.",Document MILENI0020210127eh1r000rz,2021
2021-06-27,Milenio,"César García,Graciela Olvera,Nilsa Hernández",1083 words,"Contra todo pronóstico, CdMx se pinta de colores durante marcha de comunidad LGBT+","Al grito de “sí se pudo” y “viva el amor”, esté sábado los colores de la diversidad y la libertad pintaron las principales calles de la Ciudad de México, al realizarse fuera de todo pronóstico la 43° marcha del orgullo LGBT de manera física y a todo color. Ni el covid-19, plantones, comerciantes o palabras de odio pudieron detener su “fiesta rebelde” que desde las 15:30 horas tuvo todo su esplendor en las calles del Zócalo capitalino. m{1475440}Pero ya tenían un mal antecedente, la marcha “rebelde” de hace un año, no había logrado convocar a los principales colectivos, quienes por la pandemia habían decidido mudar todo a una forma digital, lo mismo que se esperaba para este año cuando el escenario era el mismo, los organizadores cancelaron la marcha presencial y fueron algunos colectivos los que llamaban a salir contra la homofobia.",Document MILENI0020210627eh6r0005q,2021
2021-04-18,Milenio,Christian Rendón,444 words,Pablo Delgado busca dignificar a elementos policíacos con Universidad para la Seguridad,"Juan Pablo Delgado, el candidato a la alcaldía de León por el partido Movimiento Ciudadano, le apuesta en su campaña al tema de seguridad a través de una Universidad para la Paz y la dignificación a los elementos de la Policía. “En materia de seguridad estamos planteando primero dignificar las condiciones en las que se encuentran los policías, hemos estado hablando con diferentes personas que son parte de la corporación y nos comentan, por ejemplo, que para desayunar les está cobrando 20 pesos por un desayuno que no es digno, al mismo tiempo, lo salarios en muchas ocasiones no han alcanzado a aumentar aunque son personas que llevan más de 10 años trabajando en la corporación”, dijo. Dijo que esto, junto con el seguro de vida que tienen algunos de los elementos, no alcanza ni siquiera para cubrir las necesidades de la familia en caso de que fallezcan en algún enfrentamiento con la delincuencia.",Document MILENI0020210418eh4i001ec,2021
2021-10-22,Milenio,Gonzalo Oliveros,572 words,El terror a lo distinto,"El miércoles en la noche dos hombres montaron en una motocicleta y rociaron de ácido a una mujer en San Juan de Dios, una de las zonas más transitadas de Guadalajara. La víctima fue trasladada a un hospital donde le negaron el servicio, ante el pretexto de no tener datos sobre su seguro médico y las posibilidades de pago. Hoy en día, hay un sector social que repudia a hombres y mujeres transgénero; no solo eso, los segregan desde posiciones que aducen libertad pero reflejan otra historia. La noche siguiente al ataque, el programa de Hernán Gómez presentó una mesa sobre mujeres transgénero y su inclusión social.",Document MILENI0020211022eham0028p,2021
